Cr,Si,Mn,C,Ni,Mo,Nb,W,V,P,Cu,Temperature,Pressure,ExposureTime,OxygenConcentration,weightgain
11.25,0.225,0.9,0.135,0,0,0,2.4,0.015,0.005,0,650,25,1000,0,615
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,400,25,40,0,8
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,400,25,100,0,11
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,400,25,200,0,15
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,400,25,300,0,17
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,400,25,400,0,16
8.96,0.18,0.5,0.12,0.13,0.36,0.068,1.75,0.18,0.013,0,400,25,500,0,19
11.1,0.7,0.6,0,0,0,0,0,0,0,0,500,25,100,8000,177.2
11.1,0.7,0.6,0,0,0,0,0,0,0,0,500,25,250,8000,333.3
11.1,0.7,0.6,0,0,0,0,0,0,0,0,500,25,500,8000,436.9
11.1,0.7,0.6,0,0,0,0,0,0,0,0,500,25,1000,8000,546.3
11.2,0.7,1.1,0,0,0,0,0,0,0,0,500,25,100,8000,182.4
11.2,0.7,1.1,0,0,0,0,0,0,0,0,500,25,250,8000,372.9
11.2,0.7,1.1,0,0,0,0,0,0,0,0,500,25,500,8000,539.9
11.2,0.7,1.1,0,0,0,0,0,0,0,0,500,25,1000,8000,620.3
11.6,1.1,1.8,0,0,0,0,0,0,0,0,500,25,100,8000,158.7
11.6,1.1,1.8,0,0,0,0,0,0,0,0,500,25,250,8000,341.3
11.6,1.1,1.8,0,0,0,0,0,0,0,0,500,25,500,8000,473.9
11.6,1.1,1.8,0,0,0,0,0,0,0,0,500,25,1000,8000,570.1
11.6,2.2,1.7,0,0,0,0,0,0,0,0,500,25,100,8000,129.6
11.6,2.2,1.7,0,0,0,0,0,0,0,0,500,25,250,8000,296.4
11.6,2.2,1.7,0,0,0,0,0,0,0,0,500,25,500,8000,410.5
11.6,2.2,1.7,0,0,0,0,0,0,0,0,500,25,1000,8000,522.5
